Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca23015-il-500000
Airfoil,naca23015-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,72.0407
Max Cl/Cd alpha,10.5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca23015-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.500,-1.0086,0.11078,0.10773,-0.0205,0.9999,0.0257
-18.250,-1.0776,0.09326,0.08983,-0.0318,0.9999,0.0255
-18.000,-1.1072,0.08424,0.08059,-0.0372,0.9999,0.0256
-17.750,-1.1295,0.07689,0.07304,-0.0413,0.9999,0.0258
-17.500,-1.1477,0.07054,0.06649,-0.0447,0.9999,0.0261
-17.250,-1.1627,0.06500,0.06076,-0.0473,0.9999,0.0263
-17.000,-1.1755,0.06003,0.05559,-0.0494,0.9999,0.0266
-16.750,-1.1861,0.05559,0.05093,-0.0510,0.9999,0.0269
-16.500,-1.1927,0.05194,0.04716,-0.0517,0.9999,0.0272
-16.250,-1.1919,0.04930,0.04448,-0.0520,0.9999,0.0276
-16.000,-1.1885,0.04703,0.04218,-0.0522,0.9999,0.0279
-15.750,-1.1848,0.04491,0.04001,-0.0522,0.9999,0.0283
-15.500,-1.1813,0.04285,0.03787,-0.0520,0.9999,0.0287
-15.250,-1.1785,0.04078,0.03569,-0.0516,0.9999,0.0292
-15.000,-1.1764,0.03873,0.03350,-0.0508,0.9999,0.0297
-14.750,-1.1745,0.03679,0.03138,-0.0498,0.9999,0.0303
-14.500,-1.1719,0.03496,0.02938,-0.0484,0.9999,0.0309
-14.250,-1.1640,0.03367,0.02810,-0.0471,0.9999,0.0314
-14.000,-1.1547,0.03273,0.02715,-0.0457,0.9999,0.0319
-13.750,-1.1458,0.03184,0.02622,-0.0440,0.9999,0.0325
-13.500,-1.1381,0.03091,0.02521,-0.0420,0.9999,0.0332
-13.250,-1.1318,0.02992,0.02410,-0.0395,0.9999,0.0339
-13.000,-1.1266,0.02900,0.02301,-0.0367,0.9999,0.0346
-12.750,-1.1152,0.02791,0.02187,-0.0348,0.9999,0.0354
-12.500,-1.1003,0.02731,0.02128,-0.0332,0.9999,0.0360
-12.250,-1.0845,0.02682,0.02077,-0.0316,0.9999,0.0367
-12.000,-1.0682,0.02629,0.02018,-0.0301,0.9999,0.0376
-11.750,-1.0513,0.02569,0.01946,-0.0286,0.9999,0.0387
-11.500,-1.0340,0.02491,0.01854,-0.0272,0.9999,0.0397
-11.250,-1.0142,0.02425,0.01793,-0.0262,0.9999,0.0406
-11.000,-0.9939,0.02382,0.01751,-0.0251,0.9999,0.0415
-10.750,-0.9735,0.02335,0.01698,-0.0241,0.9999,0.0425
-10.500,-0.9526,0.02286,0.01640,-0.0230,0.9999,0.0437
-10.250,-0.9317,0.02227,0.01569,-0.0220,0.9999,0.0448
-10.000,-0.9102,0.02151,0.01499,-0.0212,0.9999,0.0459
-9.750,-0.8881,0.02109,0.01458,-0.0203,0.9999,0.0470
-9.500,-0.8659,0.02066,0.01412,-0.0194,0.9999,0.0482
-9.250,-0.8437,0.02026,0.01365,-0.0184,0.9999,0.0495
-9.000,-0.8215,0.01995,0.01325,-0.0174,0.9999,0.0505
-8.750,-0.8012,0.01897,0.01233,-0.0163,0.9999,0.0518
-8.500,-0.7804,0.01856,0.01195,-0.0151,0.9999,0.0529
-8.250,-0.7600,0.01820,0.01159,-0.0138,0.9999,0.0542
-8.000,-0.7401,0.01786,0.01122,-0.0124,0.9999,0.0555
-7.750,-0.7208,0.01761,0.01092,-0.0108,0.9999,0.0566
-7.500,-0.7042,0.01699,0.01030,-0.0089,0.9999,0.0578
-7.250,-0.6881,0.01653,0.00989,-0.0070,0.9999,0.0590
-7.000,-0.6674,0.01621,0.00958,-0.0059,0.9994,0.0603
-6.750,-0.6323,0.01576,0.00913,-0.0073,0.9970,0.0622
-6.500,-0.5967,0.01534,0.00869,-0.0087,0.9946,0.0637
-6.250,-0.5624,0.01469,0.00803,-0.0101,0.9924,0.0655
