1.000000e+00 8.400000e-04
9.503300e-01 8.550000e-03
9.005400e-01 1.575000e-02
8.007800e-01 2.858000e-02
7.008100e-01 3.942000e-02
6.006800e-01 4.820000e-02
5.003900e-01 5.473000e-02
4.000000e-01 5.869000e-02
2.990000e-01 5.875000e-02
2.485200e-01 5.677000e-02
1.980900e-01 5.320000e-02
1.477800e-01 4.776000e-02
9.768000e-02 3.987000e-02
7.273000e-02 3.471000e-02
4.794000e-02 2.829000e-02
2.337000e-02 1.944000e-02
1.128000e-02 1.380000e-02
0.000000e+00 0.000000e+00
1.372000e-02 -1.134000e-02
2.663000e-02 -1.493000e-02
5.206000e-02 -1.891000e-02
7.727000e-02 -2.111000e-02
1.023200e-01 -2.237000e-02
1.522200e-01 -2.338000e-02
2.019100e-01 -2.320000e-02
2.514800e-01 -2.239000e-02
3.010000e-01 -2.125000e-02
4.000000e-01 -1.869000e-02
4.996100e-01 -1.585000e-02
5.993200e-01 -1.264000e-02
6.991900e-01 -9.420000e-03
7.992200e-01 -6.360000e-03
8.994600e-01 -3.530000e-03
9.496700e-01 -2.170000e-03
1.000000e+00 -8.400000e-04
