Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca23021-il-100000
Airfoil,naca23021-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,36.9641
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca23021-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-17.250,-0.5131,0.18179,0.17550,-0.0077,1.0000,0.1682
-17.000,-0.4844,0.17781,0.17151,-0.0068,1.0000,0.1700
-16.750,-1.0007,0.07755,0.06997,-0.0654,1.0000,0.1094
-16.500,-1.0141,0.07306,0.06537,-0.0659,1.0000,0.1103
-16.250,-0.9702,0.07357,0.06609,-0.0648,1.0000,0.1129
-16.000,-1.0094,0.06748,0.05971,-0.0656,1.0000,0.1130
-15.750,-1.0276,0.06352,0.05555,-0.0653,1.0000,0.1139
-15.500,-1.0433,0.06003,0.05186,-0.0645,1.0000,0.1149
-15.250,-1.0584,0.05687,0.04848,-0.0632,1.0000,0.1160
-15.000,-1.0737,0.05400,0.04536,-0.0612,1.0000,0.1173
-14.750,-1.0894,0.05144,0.04253,-0.0586,1.0000,0.1184
-14.500,-1.1063,0.04925,0.04004,-0.0552,1.0000,0.1195
-14.250,-1.0696,0.04762,0.03860,-0.0562,1.0000,0.1227
-14.000,-1.0594,0.04605,0.03700,-0.0548,1.0000,0.1251
-13.750,-1.0566,0.04441,0.03521,-0.0526,1.0000,0.1276
-13.500,-1.0610,0.04281,0.03339,-0.0494,1.0000,0.1298
-13.250,-1.0323,0.04133,0.03204,-0.0496,1.0000,0.1336
-13.000,-1.0169,0.04013,0.03087,-0.0483,1.0000,0.1373
-12.750,-1.0147,0.03882,0.02941,-0.0454,1.0000,0.1407
-12.500,-0.9922,0.03754,0.02824,-0.0448,1.0000,0.1455
-12.250,-0.9803,0.03650,0.02726,-0.0428,1.0000,0.1504
-12.000,-0.9815,0.03541,0.02601,-0.0390,1.0000,0.1549
-11.750,-0.9599,0.03438,0.02526,-0.0382,1.0000,0.1616
-11.500,-0.9630,0.03346,0.02420,-0.0339,1.0000,0.1674
-11.250,-0.9518,0.03253,0.02353,-0.0316,1.0000,0.1749
-11.000,-0.9566,0.03173,0.02269,-0.0267,1.0000,0.1821
-10.750,-0.9574,0.03102,0.02217,-0.0224,1.0000,0.1897
-10.500,-0.9662,0.03039,0.02154,-0.0166,1.0000,0.1975
-10.250,-0.9724,0.02980,0.02108,-0.0113,1.0000,0.2060
-10.000,-0.9773,0.02916,0.02053,-0.0062,1.0000,0.2158
-9.750,-0.9832,0.02860,0.01996,-0.0009,1.0000,0.2273
-9.500,-0.9856,0.02806,0.01959,0.0038,1.0000,0.2389
