Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca23021-il-200000
Airfoil,naca23021-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,49.0917
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca23021-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0.750,0.1991,0.01383,0.00681,0.0040,0.5455,0.7747
1.000,0.2265,0.01396,0.00696,0.0045,0.5318,0.7862
1.250,0.2511,0.01407,0.00707,0.0054,0.5185,0.7999
1.500,0.2777,0.01428,0.00720,0.0060,0.5057,0.8120
1.750,0.3026,0.01441,0.00737,0.0070,0.4915,0.8246
2.000,0.3271,0.01462,0.00753,0.0080,0.4782,0.8381
2.250,0.3538,0.01488,0.00773,0.0086,0.4643,0.8493
2.500,0.3757,0.01506,0.00793,0.0101,0.4506,0.8644
2.750,0.4059,0.01545,0.00826,0.0101,0.4371,0.8737
3.000,0.4286,0.01569,0.00845,0.0115,0.4245,0.8871
3.250,0.4614,0.01607,0.00882,0.0108,0.4114,0.8946
3.500,0.4843,0.01636,0.00900,0.0120,0.4003,0.9071
3.750,0.5213,0.01674,0.00939,0.0104,0.3868,0.9125
4.000,0.5520,0.01711,0.00968,0.0099,0.3752,0.9214
4.250,0.5846,0.01742,0.00995,0.0090,0.3627,0.9290
4.500,0.6257,0.01782,0.01032,0.0063,0.3505,0.9335
4.750,0.6513,0.01813,0.01055,0.0066,0.3408,0.9445
5.000,0.6979,0.01851,0.01092,0.0027,0.3291,0.9471
5.250,0.7399,0.01895,0.01122,-0.0004,0.3189,0.9513
5.500,0.7726,0.01920,0.01154,-0.0017,0.3090,0.9596
5.750,0.8115,0.01961,0.01182,-0.0043,0.2995,0.9646
6.000,0.8525,0.01989,0.01215,-0.0073,0.2895,0.9698
6.250,0.8841,0.02030,0.01246,-0.0086,0.2813,0.9776
6.500,0.9267,0.02053,0.01275,-0.0120,0.2719,0.9816
6.750,0.9638,0.02091,0.01304,-0.0145,0.2632,0.9874
7.000,1.0017,0.02115,0.01335,-0.0171,0.2545,0.9927
7.250,1.0400,0.02151,0.01363,-0.0200,0.2462,0.9975
7.500,1.0648,0.02169,0.01389,-0.0201,0.2382,1.0000
