Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca23021-il-500000
Airfoil,naca23021-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,56.4092
Max Cl/Cd alpha,7.25
Url,http://airfoiltools.com/polar/csv?polar=xf-naca23021-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-1.1602,0.08263,0.07712,-0.0502,1.0000,0.0492
-19.500,-1.1570,0.07991,0.07437,-0.0510,1.0000,0.0498
-19.250,-1.1541,0.07713,0.07154,-0.0518,1.0000,0.0504
-19.000,-1.1510,0.07438,0.06872,-0.0526,1.0000,0.0510
-18.750,-1.1483,0.07159,0.06585,-0.0533,1.0000,0.0516
-18.500,-1.1453,0.06885,0.06302,-0.0540,1.0000,0.0521
-18.250,-1.1421,0.06612,0.06019,-0.0547,1.0000,0.0525
-18.000,-1.1358,0.06430,0.05841,-0.0544,1.0000,0.0533
-17.750,-1.1320,0.06189,0.05600,-0.0546,1.0000,0.0540
-17.500,-1.1277,0.05950,0.05357,-0.0549,1.0000,0.0547
-17.250,-1.1236,0.05709,0.05113,-0.0553,1.0000,0.0553
-17.000,-1.1187,0.05478,0.04877,-0.0555,1.0000,0.0561
-16.750,-1.1138,0.05247,0.04639,-0.0557,1.0000,0.0568
-16.500,-1.1078,0.05032,0.04416,-0.0558,1.0000,0.0574
-16.250,-1.1023,0.04816,0.04193,-0.0559,1.0000,0.0581
-16.000,-1.1016,0.04571,0.03949,-0.0556,1.0000,0.0589
-15.750,-1.0984,0.04345,0.03721,-0.0554,1.0000,0.0597
-15.500,-1.0934,0.04136,0.03509,-0.0553,1.0000,0.0606
-15.250,-1.0877,0.03939,0.03308,-0.0550,1.0000,0.0615
-15.000,-1.0811,0.03756,0.03119,-0.0546,1.0000,0.0624
-14.750,-1.0731,0.03589,0.02945,-0.0541,1.0000,0.0632
-14.500,-1.0681,0.03404,0.02756,-0.0534,1.0000,0.0641
-14.250,-1.0658,0.03207,0.02557,-0.0525,1.0000,0.0652
-14.000,-1.0600,0.03042,0.02391,-0.0516,1.0000,0.0664
-13.750,-1.0522,0.02902,0.02247,-0.0505,1.0000,0.0676
-13.500,-1.0434,0.02777,0.02117,-0.0493,1.0000,0.0690
-13.250,-1.0358,0.02655,0.01991,-0.0479,1.0000,0.0703
-13.000,-1.0323,0.02521,0.01858,-0.0458,1.0000,0.0717
-12.750,-1.0272,0.02417,0.01753,-0.0435,1.0000,0.0733
-12.500,-1.0225,0.02332,0.01666,-0.0408,1.0000,0.0750
-12.250,-1.0196,0.02259,0.01590,-0.0376,1.0000,0.0768
-12.000,-1.0238,0.02183,0.01516,-0.0332,1.0000,0.0786
-11.750,-1.0298,0.02129,0.01461,-0.0281,1.0000,0.0805
-11.500,-1.0384,0.02089,0.01419,-0.0224,1.0000,0.0824
-11.250,-1.0247,0.02021,0.01353,-0.0209,0.9982,0.0861
-11.000,-0.9947,0.01953,0.01286,-0.0223,0.9952,0.0921
-10.750,-0.9644,0.01883,0.01220,-0.0236,0.9925,0.0995
-10.500,-0.9363,0.01810,0.01151,-0.0246,0.9890,0.1078
-10.250,-0.9084,0.01739,0.01086,-0.0253,0.9843,0.1166
-10.000,-0.8772,0.01671,0.01023,-0.0267,0.9809,0.1261
-9.750,-0.8432,0.01604,0.00961,-0.0285,0.9784,0.1365
-9.500,-0.8147,0.01539,0.00904,-0.0292,0.9731,0.1480
-9.250,-0.7867,0.01471,0.00845,-0.0296,0.9668,0.1638
-9.000,-0.7570,0.01398,0.00785,-0.0304,0.9617,0.1856
-8.750,-0.7408,0.01344,0.00742,-0.0283,0.9500,0.2068
-8.500,-0.7197,0.01296,0.00703,-0.0270,0.9413,0.2283
-8.250,-0.7005,0.01255,0.00670,-0.0252,0.9306,0.2476
-8.000,-0.6793,0.01222,0.00642,-0.0238,0.9205,0.2650
-7.750,-0.6567,0.01196,0.00617,-0.0225,0.9099,0.2799
-7.500,-0.6349,0.01171,0.00595,-0.0212,0.8989,0.2930
