Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca23021-il-1000000
Airfoil,naca23021-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,64.315
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca23021-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-1.2442,0.07495,0.07022,-0.0482,1.0000,0.0409
-19.500,-1.2453,0.07168,0.06690,-0.0491,1.0000,0.0413
-19.250,-1.2451,0.06860,0.06375,-0.0499,1.0000,0.0417
-19.000,-1.2451,0.06549,0.06057,-0.0507,1.0000,0.0421
-18.750,-1.2432,0.06265,0.05767,-0.0513,1.0000,0.0424
-18.500,-1.2401,0.06000,0.05494,-0.0518,1.0000,0.0427
-18.250,-1.2446,0.05654,0.05142,-0.0525,1.0000,0.0432
-18.000,-1.2494,0.05310,0.04793,-0.0531,1.0000,0.0437
-17.750,-1.2501,0.05015,0.04493,-0.0535,1.0000,0.0442
-17.500,-1.2480,0.04757,0.04231,-0.0537,1.0000,0.0446
-17.250,-1.2440,0.04520,0.03989,-0.0539,1.0000,0.0451
-17.000,-1.2392,0.04295,0.03759,-0.0540,1.0000,0.0456
-16.750,-1.2335,0.04084,0.03542,-0.0539,1.0000,0.0461
-16.500,-1.2263,0.03893,0.03345,-0.0538,1.0000,0.0466
-16.250,-1.2175,0.03720,0.03167,-0.0536,1.0000,0.0471
-16.000,-1.2075,0.03560,0.03002,-0.0534,1.0000,0.0475
-15.750,-1.2077,0.03319,0.02755,-0.0528,1.0000,0.0483
-15.500,-1.2030,0.03130,0.02563,-0.0522,1.0000,0.0489
-15.250,-1.1952,0.02971,0.02401,-0.0515,1.0000,0.0496
-15.000,-1.1855,0.02833,0.02259,-0.0507,1.0000,0.0502
-14.750,-1.1748,0.02709,0.02131,-0.0499,1.0000,0.0509
-14.500,-1.1632,0.02596,0.02015,-0.0490,1.0000,0.0516
-14.250,-1.1501,0.02499,0.01914,-0.0480,1.0000,0.0522
-14.000,-1.1405,0.02387,0.01798,-0.0467,1.0000,0.0530
-13.750,-1.1337,0.02267,0.01677,-0.0449,1.0000,0.0540
-13.500,-1.1254,0.02173,0.01580,-0.0429,1.0000,0.0548
-13.250,-1.1177,0.02094,0.01500,-0.0406,1.0000,0.0556
-13.000,-1.1118,0.02029,0.01432,-0.0377,1.0000,0.0564
-12.750,-1.1090,0.01976,0.01376,-0.0340,1.0000,0.0572
-12.500,-1.1115,0.01935,0.01332,-0.0293,1.0000,0.0578
-12.250,-1.0898,0.01854,0.01250,-0.0293,0.9982,0.0594
-12.000,-1.0631,0.01781,0.01178,-0.0300,0.9960,0.0611
-11.750,-1.0341,0.01721,0.01117,-0.0310,0.9939,0.0629
-11.500,-1.0048,0.01658,0.01054,-0.0321,0.9922,0.0652
-11.250,-0.9768,0.01596,0.00994,-0.0329,0.9897,0.0682
-11.000,-0.9497,0.01536,0.00937,-0.0333,0.9859,0.0722
-10.750,-0.9219,0.01477,0.00883,-0.0339,0.9818,0.0785
-10.500,-0.8939,0.01419,0.00833,-0.0345,0.9776,0.0875
-10.250,-0.8740,0.01374,0.00792,-0.0331,0.9681,0.0955
-10.000,-0.8520,0.01333,0.00752,-0.0321,0.9591,0.1024
-9.750,-0.8339,0.01296,0.00716,-0.0302,0.9471,0.1083
-9.500,-0.8160,0.01261,0.00681,-0.0283,0.9353,0.1141
-9.250,-0.7965,0.01232,0.00650,-0.0265,0.9246,0.1196
-9.000,-0.7796,0.01200,0.00620,-0.0244,0.9125,0.1263
-8.750,-0.7598,0.01173,0.00592,-0.0227,0.9016,0.1336
-8.500,-0.7392,0.01141,0.00562,-0.0213,0.8898,0.1432
-8.250,-0.7192,0.01104,0.00531,-0.0198,0.8781,0.1580
