Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca4421-il-1000000
Airfoil,naca4421-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,103.06
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca4421-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-0.9805,0.08344,0.07962,-0.0909,1.0000,0.0436
-19.500,-0.9971,0.07828,0.07438,-0.0932,1.0000,0.0439
-19.250,-1.0148,0.07317,0.06918,-0.0954,1.0000,0.0443
-19.000,-1.0341,0.06805,0.06398,-0.0973,1.0000,0.0446
-18.750,-1.0541,0.06308,0.05892,-0.0990,1.0000,0.0449
-18.500,-1.0749,0.05829,0.05403,-0.1003,1.0000,0.0451
-18.250,-1.0967,0.05368,0.04932,-0.1013,1.0000,0.0453
-18.000,-1.1167,0.04961,0.04515,-0.1015,1.0000,0.0455
-17.500,-1.1664,0.04160,0.03695,-0.1005,1.0000,0.0459
-17.250,-1.1777,0.03744,0.03270,-0.1025,0.9992,0.0464
-17.000,-1.1718,0.03398,0.02916,-0.1059,0.9976,0.0470
-16.750,-1.1600,0.03131,0.02642,-0.1088,0.9958,0.0477
-16.500,-1.1439,0.02916,0.02421,-0.1113,0.9943,0.0484
-16.250,-1.1242,0.02741,0.02239,-0.1137,0.9930,0.0492
-16.000,-1.1017,0.02595,0.02087,-0.1159,0.9920,0.0499
-15.750,-1.0848,0.02453,0.01939,-0.1169,0.9889,0.0506
-15.500,-1.0687,0.02290,0.01772,-0.1183,0.9858,0.0517
-15.250,-1.0464,0.02168,0.01648,-0.1198,0.9837,0.0527
-15.000,-1.0206,0.02070,0.01546,-0.1213,0.9821,0.0539
-14.750,-0.9936,0.01993,0.01463,-0.1227,0.9803,0.0550
-14.500,-0.9753,0.01904,0.01371,-0.1225,0.9761,0.0563
-14.250,-0.9592,0.01823,0.01289,-0.1217,0.9704,0.0576
-14.000,-0.9396,0.01757,0.01220,-0.1211,0.9659,0.0590
-13.750,-0.9234,0.01708,0.01166,-0.1195,0.9596,0.0603
-13.500,-0.9093,0.01649,0.01105,-0.1176,0.9528,0.0618
-13.250,-0.8947,0.01598,0.01052,-0.1156,0.9466,0.0635
-13.000,-0.8789,0.01559,0.01009,-0.1137,0.9393,0.0652
-12.750,-0.8589,0.01516,0.00962,-0.1125,0.9333,0.0672
-12.500,-0.8398,0.01473,0.00919,-0.1112,0.9265,0.0697
-12.250,-0.8181,0.01439,0.00882,-0.1102,0.9199,0.0722
-12.000,-0.7963,0.01399,0.00841,-0.1093,0.9137,0.0756
-11.500,-0.7505,0.01336,0.00778,-0.1077,0.9005,0.0828
-11.250,-0.7255,0.01312,0.00750,-0.1071,0.8944,0.0862
-11.000,-0.7016,0.01283,0.00724,-0.1065,0.8874,0.0899
-10.750,-0.6757,0.01265,0.00700,-0.1061,0.8807,0.0929
-10.500,-0.6509,0.01239,0.00674,-0.1056,0.8740,0.0961
-10.250,-0.6252,0.01219,0.00653,-0.1051,0.8668,0.0991
-10.000,-0.5983,0.01206,0.00633,-0.1048,0.8598,0.1014
-9.750,-0.5733,0.01180,0.00608,-0.1044,0.8529,0.1047
-9.500,-0.5471,0.01162,0.00589,-0.1040,0.8453,0.1074
-9.250,-0.5201,0.01151,0.00571,-0.1037,0.8378,0.1096
-9.000,-0.4941,0.01130,0.00549,-0.1033,0.8308,0.1122
-8.750,-0.4680,0.01111,0.00530,-0.1030,0.8229,0.1149
-8.500,-0.4412,0.01099,0.00513,-0.1027,0.8154,0.1175
-8.250,-0.4137,0.01088,0.00499,-0.1025,0.8082,0.1194
-8.000,-0.3878,0.01069,0.00477,-0.1020,0.7999,0.1225
-7.750,-0.3613,0.01054,0.00461,-0.1017,0.7922,0.1254
-7.500,-0.3341,0.01041,0.00447,-0.1015,0.7843,0.1280
-7.250,-0.3069,0.01035,0.00434,-0.1012,0.7759,0.1301
-7.000,-0.2805,0.01015,0.00415,-0.1009,0.7682,0.1338
-6.750,-0.2539,0.01003,0.00401,-0.1005,0.7590,0.1371
-6.500,-0.2268,0.00994,0.00388,-0.1003,0.7505,0.1401
-6.250,-0.1998,0.00982,0.00374,-0.1000,0.7416,0.1437
-6.000,-0.1737,0.00971,0.00361,-0.0995,0.7324,0.1483
-5.750,-0.1461,0.00960,0.00350,-0.0994,0.7238,0.1524
-5.500,-0.1201,0.00950,0.00337,-0.0989,0.7135,0.1582
-5.250,-0.0931,0.00939,0.00327,-0.0986,0.7042,0.1650
-5.000,-0.0672,0.00928,0.00316,-0.0982,0.6938,0.1737
-4.750,-0.0404,0.00918,0.00307,-0.0979,0.6846,0.1831
-4.500,-0.0140,0.00910,0.00299,-0.0975,0.6744,0.1935
-4.250,0.0126,0.00902,0.00293,-0.0971,0.6650,0.2051
-4.000,0.0393,0.00897,0.00288,-0.0968,0.6545,0.2153
-3.750,0.0660,0.00895,0.00285,-0.0964,0.6446,0.2249
-3.500,0.0928,0.00891,0.00280,-0.0961,0.6342,0.2335
-3.250,0.1195,0.00891,0.00278,-0.0957,0.6247,0.2412
-3.000,0.1470,0.00891,0.00276,-0.0955,0.6154,0.2465
-2.750,0.1729,0.00890,0.00272,-0.0950,0.6059,0.2544
-2.500,0.2005,0.00888,0.00270,-0.0949,0.5975,0.2607
-2.250,0.2268,0.00894,0.00270,-0.0944,0.5878,0.2649
-2.000,0.2538,0.00889,0.00267,-0.0942,0.5799,0.2736
-1.750,0.2804,0.00889,0.00266,-0.0938,0.5715,0.2808
-1.500,0.3068,0.00892,0.00267,-0.0934,0.5636,0.2874
-1.250,0.3340,0.00888,0.00266,-0.0932,0.5568,0.2975
-0.750,0.3864,0.00889,0.00268,-0.0924,0.5415,0.3209
-0.500,0.4130,0.00886,0.00269,-0.0921,0.5339,0.3374
-0.250,0.4378,0.00888,0.00273,-0.0914,0.5253,0.3575
0.000,0.4646,0.00884,0.00276,-0.0912,0.5191,0.3802
0.250,0.4910,0.00882,0.00279,-0.0908,0.5129,0.4026
0.500,0.5162,0.00884,0.00284,-0.0903,0.5063,0.4250
0.750,0.5423,0.00882,0.00289,-0.0899,0.5008,0.4509
1.000,0.5688,0.00878,0.00294,-0.0896,0.4955,0.4814
1.250,0.5943,0.00878,0.00301,-0.0891,0.4898,0.5122
1.500,0.6183,0.00880,0.00309,-0.0883,0.4834,0.5460
1.750,0.6448,0.00874,0.00317,-0.0880,0.4792,0.5859
2.000,0.6706,0.00871,0.00325,-0.0876,0.4742,0.6222
2.250,0.6953,0.00874,0.00335,-0.0869,0.4689,0.6526
2.500,0.7177,0.00882,0.00346,-0.0858,0.4629,0.6807
2.750,0.7433,0.00881,0.00354,-0.0853,0.4591,0.7066
3.000,0.7678,0.00884,0.00363,-0.0846,0.4544,0.7311
3.250,0.7913,0.00890,0.00375,-0.0836,0.4495,0.7562
3.750,0.8394,0.00903,0.00404,-0.0821,0.4399,0.8127
4.000,0.8639,0.00907,0.00419,-0.0813,0.4353,0.8466
4.250,0.8864,0.00916,0.00436,-0.0801,0.4305,0.8831
4.500,0.9060,0.00932,0.00457,-0.0783,0.4252,0.9190
4.750,0.9286,0.00944,0.00474,-0.0771,0.4208,0.9478
5.000,0.9564,0.00958,0.00490,-0.0771,0.4152,0.9703
5.250,0.9882,0.00983,0.00510,-0.0781,0.4080,0.9863
5.750,1.0543,0.01023,0.00545,-0.0808,0.3938,1.0000
6.000,1.0690,0.01047,0.00563,-0.0784,0.3863,1.0000
6.250,1.0909,0.01061,0.00577,-0.0774,0.3807,1.0000
6.500,1.1119,0.01082,0.00595,-0.0763,0.3741,1.0000
6.750,1.1308,0.01112,0.00621,-0.0748,0.3671,1.0000
7.000,1.1541,0.01131,0.00640,-0.0741,0.3614,1.0000
7.250,1.1747,0.01160,0.00666,-0.0731,0.3538,1.0000
7.500,1.1954,0.01191,0.00693,-0.0720,0.3465,1.0000
7.750,1.2165,0.01221,0.00721,-0.0711,0.3388,1.0000
8.000,1.2353,0.01261,0.00757,-0.0698,0.3308,1.0000
8.250,1.2565,0.01293,0.00787,-0.0689,0.3227,1.0000
8.500,1.2740,0.01341,0.00830,-0.0675,0.3137,1.0000
8.750,1.2938,0.01381,0.00868,-0.0665,0.3050,1.0000
9.000,1.3111,0.01433,0.00916,-0.0652,0.2964,1.0000
9.250,1.3298,0.01480,0.00961,-0.0641,0.2887,1.0000
9.500,1.3457,0.01541,0.01017,-0.0626,0.2806,1.0000
9.750,1.3645,0.01590,0.01065,-0.0616,0.2733,1.0000
10.250,1.3966,0.01717,0.01187,-0.0590,0.2579,1.0000
10.500,1.4097,0.01798,0.01264,-0.0574,0.2498,1.0000
10.750,1.4272,0.01858,0.01324,-0.0564,0.2437,1.0000
11.000,1.4413,0.01938,0.01402,-0.0550,0.2365,1.0000
11.250,1.4558,0.02017,0.01480,-0.0538,0.2296,1.0000
11.500,1.4689,0.02106,0.01566,-0.0524,0.2216,1.0000
11.750,1.4814,0.02202,0.01660,-0.0511,0.2140,1.0000
12.000,1.4922,0.02310,0.01766,-0.0496,0.2056,1.0000
12.250,1.5040,0.02416,0.01871,-0.0484,0.1980,1.0000
12.500,1.5118,0.02551,0.02002,-0.0468,0.1890,1.0000
12.750,1.5206,0.02683,0.02131,-0.0454,0.1798,1.0000
13.000,1.5275,0.02833,0.02279,-0.0440,0.1710,1.0000
13.250,1.5327,0.02999,0.02442,-0.0425,0.1625,1.0000
13.500,1.5384,0.03169,0.02610,-0.0412,0.1547,1.0000
13.750,1.5433,0.03347,0.02787,-0.0399,0.1478,1.0000
14.000,1.5464,0.03544,0.02983,-0.0386,0.1412,1.0000
14.250,1.5516,0.03732,0.03172,-0.0376,0.1358,1.0000
14.500,1.5536,0.03952,0.03392,-0.0365,0.1307,1.0000
14.750,1.5590,0.04144,0.03586,-0.0356,0.1267,1.0000
15.000,1.5621,0.04363,0.03807,-0.0348,0.1231,1.0000
15.250,1.5623,0.04612,0.04058,-0.0339,0.1194,1.0000
15.500,1.5683,0.04810,0.04260,-0.0333,0.1169,1.0000
15.750,1.5708,0.05048,0.04501,-0.0328,0.1143,1.0000
16.000,1.5711,0.05307,0.04764,-0.0322,0.1116,1.0000
16.250,1.5711,0.05573,0.05033,-0.0316,0.1091,1.0000
16.500,1.5746,0.05809,0.05275,-0.0313,0.1073,1.0000
16.750,1.5771,0.06054,0.05524,-0.0310,0.1053,1.0000
