1.000000e+00 1.570000e-03
9.974000e-01 2.230000e-03
9.893000e-01 4.190000e-03
9.759000e-01 7.390000e-03
9.573300e-01 1.172000e-02
9.337700e-01 1.705000e-02
9.054800e-01 2.323000e-02
8.727500e-01 3.006000e-02
8.359100e-01 3.738000e-02
7.953600e-01 4.498000e-02
7.515400e-01 5.267000e-02
7.049000e-01 6.025000e-02
6.559500e-01 6.753000e-02
6.052400e-01 7.431000e-02
5.533100e-01 8.040000e-02
5.007400e-01 8.562000e-02
4.481100e-01 8.978000e-02
3.959700e-01 9.272000e-02
3.444800e-01 9.409000e-02
2.946900e-01 9.366000e-02
2.472200e-01 9.140000e-02
2.026100e-01 8.736000e-02
1.614200e-01 8.163000e-02
1.241100e-01 7.438000e-02
9.112000e-02 6.580000e-02
6.282000e-02 5.615000e-02
3.952000e-02 4.566000e-02
2.145000e-02 3.460000e-02
8.780000e-03 2.319000e-02
1.610000e-03 1.161000e-02
0.000000e+00 0.000000e+00
3.870000e-03 -1.106000e-02
1.308000e-02 -2.103000e-02
2.750000e-02 -2.985000e-02
4.694000e-02 -3.748000e-02
7.115000e-02 -4.387000e-02
9.986000e-02 -4.899000e-02
1.327500e-01 -5.282000e-02
1.694500e-01 -5.539000e-02
2.096000e-01 -5.676000e-02
2.527800e-01 -5.703000e-02
2.985700e-01 -5.633000e-02
3.465100e-01 -5.483000e-02
3.961200e-01 -5.272000e-02
4.473700e-01 -5.003000e-02
4.992600e-01 -4.673000e-02
5.512200e-01 -4.298000e-02
6.026700e-01 -3.893000e-02
6.530600e-01 -3.472000e-02
7.018400e-01 -3.048000e-02
7.484600e-01 -2.628000e-02
7.924200e-01 -2.222000e-02
8.332200e-01 -1.836000e-02
8.704000e-01 -1.477000e-02
9.035400e-01 -1.151000e-02
9.322500e-01 -8.620000e-03
9.562200e-01 -6.160000e-03
9.751600e-01 -4.190000e-03
9.888500e-01 -2.750000e-03
9.971200e-01 -1.870000e-03
1.000000e+00 -1.570000e-03
